"","int_vote_trump","voted_trump","int_vote_clinton","voted_clinton","lib_conserv_scale","white_voter","latino_voter","swing_voter","swing_trump","swing_hillary","region","age","religion_important_life"
"238",0,0,0,1,4,1,0,0,0,1,"South",76,1
"239",1,1,0,0,4,1,0,0,0,0,"Midwest",42,1
"240",0,0,1,1,4,0,0,0,0,0,"South",24,1
"241",0,0,0,0,5,1,0,0,0,0,"South",74,1
"242",1,0,0,0,6,1,0,1,0,0,"South",76,1
"243",0,0,1,0,6,0,0,0,0,0,"South",25,1
"244",1,1,0,0,6,1,1,0,0,0,"South",60,1
"245",0,0,0,1,4,1,0,0,0,1,"Midwest",30,1
"246",1,1,0,0,7,0,1,0,0,0,"West",61,1
"247",0,0,1,1,5,1,0,0,0,0,"South",48,1
"248",0,0,1,0,3,0,1,0,0,0,"Northeast",39,1
"249",0,0,1,1,4,1,0,0,0,0,"Northeast",50,1
"250",0,0,1,1,4,1,0,0,0,0,"Northeast",36,1
"251",0,0,1,1,2,1,0,0,0,0,"South",58,0
"252",0,0,1,1,3,0,0,0,0,0,"Midwest",30,0
"253",0,0,1,1,3,1,0,0,0,0,"Midwest",52,1
"254",0,0,0,0,6,1,0,0,0,0,"South",54,0
"255",1,1,0,0,7,1,1,0,0,0,"West",70,1
"256",0,1,0,0,6,1,0,1,1,0,"Midwest",81,1
"257",1,1,0,0,6,1,0,0,0,0,"South",41,1
"258",0,0,1,1,3,0,0,0,0,0,"Midwest",23,0
"259",0,0,0,0,3,1,0,0,0,0,"West",45,0
"260",1,1,0,0,6,1,0,0,0,0,"Midwest",46,1
"261",0,0,0,0,3,1,1,0,0,0,"South",57,1
"262",0,0,1,0,2,1,0,0,0,0,"Midwest",35,0
"263",0,0,0,0,4,1,0,0,0,0,"South",40,0
"264",0,0,1,1,3,1,0,0,0,0,"West",55,0
"265",0,0,0,0,6,0,0,0,0,0,"Northeast",79,1
"266",0,0,1,0,3,0,0,0,0,0,"West",28,1
"267",0,0,0,0,5,0,0,0,0,0,"South",56,0
"268",0,0,1,1,2,1,0,0,0,0,"South",58,1
"269",1,1,0,0,7,1,0,0,0,0,"South",60,1
"270",1,1,0,0,6,1,0,0,0,0,"South",57,1
"271",1,1,0,0,7,1,0,0,0,0,"South",87,1
"272",0,0,1,0,1,0,0,0,0,0,"South",47,1
"273",0,0,1,1,4,1,0,0,0,0,"Northeast",59,1
"274",0,1,0,0,4,1,0,1,1,0,"West",50,1
"275",0,0,1,0,2,1,0,0,0,0,"South",48,0
"276",0,0,1,1,3,1,0,0,0,0,"West",47,1
"277",1,0,0,0,7,1,0,1,0,0,"South",57,1
"278",1,1,0,0,6,1,0,0,0,0,"Midwest",24,1
"279",1,0,0,0,4,1,0,1,0,0,"Northeast",45,1
"280",0,0,0,0,5,1,0,0,0,0,"Northeast",62,0
"281",0,0,1,1,3,1,0,0,0,0,"West",60,0
"282",1,1,0,0,6,1,0,0,0,0,"South",66,1
"283",0,0,1,1,3,1,0,0,0,0,"West",30,0
"284",1,1,0,0,6,1,0,0,0,0,"Midwest",90,1
"285",0,0,0,1,1,1,0,0,0,1,"South",23,0
"286",1,0,0,0,6,1,0,1,0,0,"South",70,1
"287",0,0,0,0,4,1,0,0,0,0,"Midwest",39,1
"288",0,0,0,1,4,0,0,0,0,1,"South",46,0
"289",0,0,1,1,5,1,0,0,0,0,"Midwest",61,1
"290",0,0,1,1,3,0,0,0,0,0,"South",40,1
"291",1,1,0,0,7,1,0,0,0,0,"South",40,0
"292",0,0,0,1,3,0,0,0,0,1,"Midwest",31,1
"293",1,1,0,0,5,1,0,0,0,0,"South",48,1
"294",0,0,1,1,5,0,0,0,0,0,"South",59,1
"295",0,0,1,0,4,0,1,0,0,0,"West",58,1
"296",0,0,1,1,1,1,0,0,0,0,"West",37,0
"297",0,1,0,0,5,1,0,1,1,0,"West",34,1
"298",0,0,1,1,2,1,0,0,0,0,"South",36,1
"299",1,1,0,0,6,1,0,0,0,0,"South",41,1
"300",1,0,0,0,6,1,0,1,0,0,"West",21,1
"301",0,0,1,1,3,1,0,0,0,0,"Northeast",75,1
"302",1,1,0,0,6,1,0,0,0,0,"West",88,1
"303",0,0,1,1,4,0,0,0,0,0,"South",50,1
"304",0,0,0,0,4,1,0,0,0,0,"South",38,1
"305",1,0,0,0,5,1,0,1,0,0,"South",63,0
"306",0,1,0,0,5,1,0,1,1,0,"South",47,1
"307",0,0,0,0,5,1,0,0,0,0,"West",32,1
"308",1,1,0,0,4,1,0,0,0,0,"West",59,1
"309",1,1,0,0,4,1,0,0,0,0,"Midwest",79,1
"310",0,0,0,0,3,0,0,0,0,0,"West",37,1
"311",0,0,1,1,2,0,0,0,0,0,"South",76,1
"312",1,1,0,0,6,1,0,0,0,0,"South",48,1
"313",1,1,0,0,6,1,0,0,0,0,"South",54,0
"314",1,1,0,0,4,1,0,0,0,0,"Northeast",66,1
"315",0,0,1,1,2,1,1,0,0,0,"Midwest",33,0
"316",1,1,0,0,4,1,0,0,0,0,"Midwest",21,0
"317",1,1,0,0,5,1,0,0,0,0,"South",47,1
"318",0,0,1,1,2,1,0,0,0,0,"West",52,0
"319",0,0,1,0,5,0,1,0,0,0,"West",52,0
"320",0,0,1,0,3,0,1,0,0,0,"South",35,1
"321",1,1,0,0,4,1,0,0,0,0,"Northeast",55,0
"322",0,0,1,1,3,1,0,0,0,0,"Northeast",61,0
"323",0,0,0,1,6,0,1,0,0,1,"West",54,0
"324",0,0,0,0,4,1,1,0,0,0,"West",56,0
"325",0,0,1,1,4,1,0,0,0,0,"Midwest",80,1
"326",0,0,1,1,6,0,1,0,0,0,"Northeast",52,1
"327",1,1,0,0,4,0,1,0,0,0,"South",21,1
"328",0,0,0,0,4,1,0,0,0,0,"West",28,0
"329",1,0,0,0,2,1,0,1,0,0,"South",55,1
"330",0,0,1,1,5,1,0,0,0,0,"Northeast",47,1
"331",1,0,0,0,7,1,0,1,0,0,"South",85,1
"332",1,1,0,0,6,1,0,0,0,0,"South",27,1
"333",0,0,0,1,2,1,0,0,0,1,"South",45,1
"334",1,0,0,0,5,1,0,1,0,0,"West",66,1
"335",1,1,0,0,6,1,0,0,0,0,"West",51,1
"336",0,0,0,0,4,1,0,0,0,0,"South",58,1
"337",1,0,0,0,6,0,0,1,0,0,"West",34,1
"338",1,1,0,0,7,1,0,0,0,0,"West",80,1
"339",1,0,0,0,7,1,0,1,0,0,"South",26,1
"340",1,1,0,0,6,1,0,0,0,0,"South",35,1
"341",0,0,0,0,5,0,0,0,0,0,"West",33,0
"342",1,1,0,0,6,1,0,0,0,0,"South",48,1
"343",0,0,1,1,3,1,1,0,0,0,"West",67,1
"344",0,1,0,0,4,1,0,1,1,0,"West",39,1
"345",1,1,0,0,5,1,0,0,0,0,"Northeast",27,1
"346",1,1,0,0,6,1,0,0,0,0,"South",71,1
"347",0,0,1,1,2,1,0,0,0,0,"Northeast",36,1
"348",0,0,0,1,4,0,1,0,0,1,"West",53,1
"349",0,0,1,1,2,1,0,0,0,0,"West",35,0
"350",0,0,1,1,4,1,0,0,0,0,"Northeast",66,1
"351",1,1,0,0,6,1,0,0,0,0,"Midwest",49,1
"352",1,1,0,0,6,1,1,0,0,0,"West",63,1
"353",1,0,0,0,7,1,0,1,0,0,"South",88,1
"354",0,0,0,0,3,1,0,0,0,0,"West",23,0
"355",0,0,1,0,4,0,0,0,0,0,"Northeast",71,1
"356",0,0,0,0,7,1,1,0,0,0,"West",65,1
"357",0,0,0,0,5,1,0,0,0,0,"Northeast",27,1
"358",1,1,0,0,4,1,0,0,0,0,"South",69,1
"359",1,0,0,0,6,1,0,1,0,0,"South",66,1
"360",0,0,0,0,3,1,0,0,0,0,"South",42,0
"361",1,1,0,0,6,1,0,0,0,0,"Northeast",74,1
"362",0,0,0,0,5,0,0,0,0,0,"West",26,0
"363",0,0,1,0,3,1,0,0,0,0,"West",40,0
"364",1,0,0,0,6,1,0,1,0,0,"South",81,1
"365",1,1,0,0,6,1,0,0,0,0,"Midwest",59,1
"366",0,0,1,1,3,1,0,0,0,0,"Midwest",42,0
"367",0,0,0,1,4,1,0,0,0,1,"Midwest",46,1
"368",0,0,0,0,5,1,0,0,0,0,"South",36,1
"369",1,0,0,0,5,1,0,1,0,0,"Midwest",63,1
"370",1,0,0,0,5,1,0,1,0,0,"West",71,1
"371",1,1,0,0,6,0,0,0,0,0,"South",56,1
"372",0,0,1,1,2,0,0,0,0,0,"Northeast",43,0
"373",0,0,1,1,2,1,0,0,0,0,"South",46,0
"374",1,0,0,0,5,1,0,1,0,0,"Northeast",21,1
"375",1,1,0,0,6,1,0,0,0,0,"West",74,1
"376",0,0,1,1,4,0,0,0,0,0,"South",61,0
"377",0,0,1,1,6,0,0,0,0,0,"South",65,1
"378",0,0,0,1,4,0,0,0,0,1,"West",41,1
"379",1,1,0,0,5,1,0,0,0,0,"West",66,1
"380",0,0,1,1,5,1,1,0,0,0,"West",54,1
"381",0,0,0,0,7,0,0,0,0,0,"Midwest",35,1
"382",0,0,1,0,1,1,0,0,0,0,"Midwest",45,1
"383",0,0,0,0,4,1,0,0,0,0,"Northeast",31,0
"384",0,0,1,1,4,0,1,0,0,0,"Northeast",40,1
"385",1,1,0,0,6,1,1,0,0,0,"West",71,1
"386",0,0,1,1,4,1,0,0,0,0,"Midwest",34,0
"387",0,0,0,0,4,0,0,0,0,0,"South",27,1
"388",1,1,0,0,5,1,0,0,0,0,"South",68,1
"389",0,0,0,0,4,1,1,0,0,0,"South",62,1
"390",1,1,0,0,4,1,0,0,0,0,"Midwest",76,1
"391",0,0,1,1,2,1,0,0,0,0,"Midwest",69,1
"392",1,1,0,0,6,1,0,0,0,0,"South",68,1
"393",1,1,0,0,7,1,0,0,0,0,"South",64,1
"394",1,1,0,0,6,1,0,0,0,0,"South",52,1
"395",0,0,0,0,5,1,0,0,0,0,"South",30,1
"396",0,0,0,1,2,0,1,0,0,1,"West",68,0
"397",1,1,0,0,5,1,0,0,0,0,"West",53,1
"398",0,0,1,1,4,0,1,0,0,0,"South",43,1
"399",1,1,0,0,5,1,0,0,0,0,"South",26,1
"400",0,0,1,1,4,1,0,0,0,0,"South",37,1
"401",1,0,0,0,5,1,0,1,0,0,"West",69,1
"402",0,0,1,1,2,1,0,0,0,0,"Midwest",74,1
"403",1,0,0,0,4,0,1,1,0,0,"West",21,1
"404",1,1,0,0,6,1,0,0,0,0,"West",42,1
"405",1,1,0,0,7,1,0,0,0,0,"South",50,1
"406",1,1,0,0,6,1,0,0,0,0,"Midwest",45,1
"407",1,1,0,0,6,1,0,0,0,0,"West",60,1
"408",0,0,0,0,4,1,0,0,0,0,"West",48,1
"409",0,0,0,0,4,1,0,0,0,0,"South",27,1
"410",1,1,0,0,7,1,0,0,0,0,"South",53,1
"411",0,0,1,0,4,1,0,0,0,0,"Midwest",29,0
"412",0,0,1,1,2,1,0,0,0,0,"Midwest",53,0
"413",0,0,1,1,2,0,0,0,0,0,"South",32,1
"414",0,0,0,0,3,0,0,0,0,0,"West",31,0
"415",1,1,0,0,6,1,0,0,0,0,"Northeast",77,1
"416",1,1,0,0,6,1,0,0,0,0,"South",29,1
"417",1,1,0,0,3,1,0,0,0,0,"West",62,1
"418",0,0,1,1,3,1,0,0,0,0,"Midwest",42,1
