"int_vote_trump","voted_trump","int_vote_clinton","voted_clinton","lib_conserv_scale","white_voter","latinx_voter","swing_voter","swing_trump","swing_hillary","region","age","religion_important_life"
0,0,1,1,-1.35275480224597,1,0,0,0,0,"South",25,0
1,1,0,0,-0.728002584391104,1,0,0,0,0,"Midwest",67,1
0,0,0,0,1.14625406917349,1,0,0,0,0,"South",69,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"Northeast",68,1
1,1,0,0,1.77100628702836,1,0,0,0,0,"South",62,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"Midwest",69,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",85,1
1,0,0,1,0.521501851318627,1,0,1,0,1,"South",26,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"West",54,0
0,0,1,0,-0.728002584391104,1,0,0,0,0,"Midwest",68,1
1,0,0,0,1.14625406917349,1,0,1,0,0,"Midwest",45,1
0,0,0,1,-0.103250366536238,1,0,0,0,1,"South",60,1
0,0,0,0,1.14625406917349,1,0,0,0,0,"Midwest",53,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",70,1
1,0,0,0,1.77100628702836,1,0,1,0,0,"South",75,1
1,1,0,0,1.77100628702836,1,0,0,0,0,"South",57,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"Northeast",59,1
0,0,1,1,-1.35275480224597,1,1,0,0,0,"South",76,0
0,0,1,0,-0.103250366536238,1,1,0,0,0,"West",61,1
0,0,1,1,-0.728002584391104,0,1,0,0,0,"South",20,1
1,1,0,0,0.521501851318627,1,0,0,0,0,"South",62,1
0,0,1,1,0.521501851318627,1,0,0,0,0,"Midwest",40,1
0,0,1,1,-0.103250366536238,0,0,0,0,0,"Northeast",24,0
1,0,0,0,1.14625406917349,1,0,1,0,0,"South",47,1
0,0,0,1,-1.35275480224597,1,0,0,0,1,"West",24,0
0,0,1,1,-0.728002584391104,0,0,0,0,0,"South",63,1
0,0,0,0,-1.97750702010084,0,0,0,0,0,"Northeast",32,1
0,0,1,1,-0.103250366536238,1,1,0,0,0,"West",51,1
1,0,0,0,-0.728002584391104,1,0,1,0,0,"South",50,0
0,0,0,0,0.521501851318627,1,0,0,0,0,"West",30,0
0,0,0,0,0.521501851318627,1,0,0,0,0,"Midwest",29,0
0,0,1,1,-0.728002584391104,1,1,0,0,0,"South",63,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",88,0
0,0,1,1,-1.35275480224597,1,0,0,0,0,"South",25,0
0,0,1,1,-1.35275480224597,1,0,0,0,0,"South",60,1
1,1,0,0,0.521501851318627,1,0,0,0,0,"West",62,1
0,0,0,0,1.14625406917349,1,0,0,0,0,"Midwest",49,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"Midwest",80,1
0,1,1,0,-0.728002584391104,1,0,1,1,0,"South",22,1
0,0,0,0,1.14625406917349,1,1,0,0,0,"South",23,1
0,0,1,1,-0.103250366536238,0,0,0,0,0,"South",19,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"Northeast",90,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",31,1
1,1,0,0,1.77100628702836,1,0,0,0,0,"South",59,1
0,0,0,0,1.14625406917349,1,0,0,0,0,"West",45,0
0,0,0,1,-0.103250366536238,1,0,0,0,1,"Midwest",66,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",23,1
0,0,1,1,-0.103250366536238,0,1,0,0,0,"South",26,0
1,1,0,0,1.14625406917349,1,0,0,0,0,"Midwest",59,1
0,1,0,0,-1.35275480224597,1,0,1,1,0,"South",63,1
0,0,1,0,1.14625406917349,0,0,0,0,0,"South",28,1
1,0,0,0,1.14625406917349,1,0,1,0,0,"Midwest",27,1
1,0,0,0,1.14625406917349,1,0,1,0,0,"South",40,1
0,1,0,0,-0.103250366536238,1,0,1,1,0,"Northeast",71,1
0,0,0,0,-0.728002584391104,1,0,0,0,0,"Midwest",27,0
1,0,0,0,-0.103250366536238,1,0,1,0,0,"South",48,1
0,0,0,0,0.521501851318627,1,1,0,0,0,"Midwest",49,1
0,0,1,1,-0.728002584391104,1,0,0,0,0,"Midwest",24,0
0,0,1,1,-0.728002584391104,1,0,0,0,0,"West",78,1
1,1,0,0,0.521501851318627,1,0,0,0,0,"South",24,1
1,1,0,0,1.14625406917349,1,1,0,0,0,"Northeast",63,1
0,0,1,1,-1.97750702010084,1,1,0,0,0,"South",71,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",44,0
1,0,0,0,1.14625406917349,1,0,1,0,0,"South",30,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"South",21,0
0,0,0,0,1.14625406917349,1,0,0,0,0,"Midwest",29,1
0,0,0,1,-0.103250366536238,1,0,0,0,1,"South",76,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",42,1
0,0,1,1,-0.103250366536238,0,0,0,0,0,"South",24,1
0,0,0,0,0.521501851318627,1,0,0,0,0,"South",74,1
1,0,0,0,1.14625406917349,1,0,1,0,0,"South",76,1
0,0,1,0,1.14625406917349,0,0,0,0,0,"South",25,1
1,1,0,0,1.14625406917349,1,1,0,0,0,"South",60,1
0,0,0,1,-0.103250366536238,1,0,0,0,1,"Midwest",30,1
1,1,0,0,1.77100628702836,0,1,0,0,0,"West",61,1
0,0,1,1,0.521501851318627,1,0,0,0,0,"South",48,1
0,0,1,0,-0.728002584391104,0,1,0,0,0,"Northeast",39,1
0,0,1,1,-0.103250366536238,1,0,0,0,0,"Northeast",50,1
0,0,1,1,-0.103250366536238,1,0,0,0,0,"Northeast",36,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"South",58,0
0,0,1,1,-0.728002584391104,0,0,0,0,0,"Midwest",30,0
0,0,1,1,-0.728002584391104,1,0,0,0,0,"Midwest",52,1
0,0,0,0,1.14625406917349,1,0,0,0,0,"South",54,0
1,1,0,0,1.77100628702836,1,1,0,0,0,"West",70,1
0,1,0,0,1.14625406917349,1,0,1,1,0,"Midwest",81,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",41,1
0,0,1,1,-0.728002584391104,0,0,0,0,0,"Midwest",23,0
0,0,0,0,-0.728002584391104,1,0,0,0,0,"West",45,0
1,1,0,0,1.14625406917349,1,0,0,0,0,"Midwest",46,1
0,0,0,0,-0.728002584391104,1,1,0,0,0,"South",57,1
0,0,1,0,-1.35275480224597,1,0,0,0,0,"Midwest",35,0
0,0,0,0,-0.103250366536238,1,0,0,0,0,"South",40,0
0,0,1,1,-0.728002584391104,1,0,0,0,0,"West",55,0
0,0,0,0,1.14625406917349,0,0,0,0,0,"Northeast",79,1
0,0,1,0,-0.728002584391104,0,0,0,0,0,"West",28,1
0,0,0,0,0.521501851318627,0,0,0,0,0,"South",56,0
0,0,1,1,-1.35275480224597,1,0,0,0,0,"South",58,1
1,1,0,0,1.77100628702836,1,0,0,0,0,"South",60,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",57,1
1,1,0,0,1.77100628702836,1,0,0,0,0,"South",87,1
0,0,1,0,-1.97750702010084,0,0,0,0,0,"South",47,1
0,0,1,1,-0.103250366536238,1,0,0,0,0,"Northeast",59,1
0,1,0,0,-0.103250366536238,1,0,1,1,0,"West",50,1
0,0,1,0,-1.35275480224597,1,0,0,0,0,"South",48,0
0,0,1,1,-0.728002584391104,1,0,0,0,0,"West",47,1
1,0,0,0,1.77100628702836,1,0,1,0,0,"South",57,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"Midwest",24,1
1,0,0,0,-0.103250366536238,1,0,1,0,0,"Northeast",45,1
0,0,0,0,0.521501851318627,1,0,0,0,0,"Northeast",62,0
0,0,1,1,-0.728002584391104,1,0,0,0,0,"West",60,0
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",66,1
0,0,1,1,-0.728002584391104,1,0,0,0,0,"West",30,0
1,1,0,0,1.14625406917349,1,0,0,0,0,"Midwest",90,1
0,0,0,1,-1.97750702010084,1,0,0,0,1,"South",23,0
1,0,0,0,1.14625406917349,1,0,1,0,0,"South",70,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",39,1
0,0,0,1,-0.103250366536238,0,0,0,0,1,"South",46,0
0,0,1,1,0.521501851318627,1,0,0,0,0,"Midwest",61,1
0,0,1,1,-0.728002584391104,0,0,0,0,0,"South",40,1
1,1,0,0,1.77100628702836,1,0,0,0,0,"South",40,0
0,0,0,1,-0.728002584391104,0,0,0,0,1,"Midwest",31,1
1,1,0,0,0.521501851318627,1,0,0,0,0,"South",48,1
0,0,1,1,0.521501851318627,0,0,0,0,0,"South",59,1
0,0,1,0,-0.103250366536238,0,1,0,0,0,"West",58,1
0,0,1,1,-1.97750702010084,1,0,0,0,0,"West",37,0
0,1,0,0,0.521501851318627,1,0,1,1,0,"West",34,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"South",36,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",41,1
1,0,0,0,1.14625406917349,1,0,1,0,0,"West",21,1
0,0,1,1,-0.728002584391104,1,0,0,0,0,"Northeast",75,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"West",88,1
0,0,1,1,-0.103250366536238,0,0,0,0,0,"South",50,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"South",38,1
1,0,0,0,0.521501851318627,1,0,1,0,0,"South",63,0
0,1,0,0,0.521501851318627,1,0,1,1,0,"South",47,1
0,0,0,0,0.521501851318627,1,0,0,0,0,"West",32,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"West",59,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",79,1
0,0,0,0,-0.728002584391104,0,0,0,0,0,"West",37,1
0,0,1,1,-1.35275480224597,0,0,0,0,0,"South",76,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",48,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",54,0
1,1,0,0,-0.103250366536238,1,0,0,0,0,"Northeast",66,1
0,0,1,1,-1.35275480224597,1,1,0,0,0,"Midwest",33,0
1,1,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",21,0
1,1,0,0,0.521501851318627,1,0,0,0,0,"South",47,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"West",52,0
0,0,1,0,0.521501851318627,0,1,0,0,0,"West",52,0
0,0,1,0,-0.728002584391104,0,1,0,0,0,"South",35,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"Northeast",55,0
0,0,1,1,-0.728002584391104,1,0,0,0,0,"Northeast",61,0
0,0,0,1,1.14625406917349,0,1,0,0,1,"West",54,0
0,0,0,0,-0.103250366536238,1,1,0,0,0,"West",56,0
0,0,1,1,-0.103250366536238,1,0,0,0,0,"Midwest",80,1
0,0,1,1,1.14625406917349,0,1,0,0,0,"Northeast",52,1
1,1,0,0,-0.103250366536238,0,1,0,0,0,"South",21,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"West",28,0
1,0,0,0,-1.35275480224597,1,0,1,0,0,"South",55,1
0,0,1,1,0.521501851318627,1,0,0,0,0,"Northeast",47,1
1,0,0,0,1.77100628702836,1,0,1,0,0,"South",85,1
