"precinct","elecyear","propturbine","perc_lib"
"73.084.73.65.",2011,0,0.287610619
"73.094.73.67.",2011,0,0.470588235
"73.103.73.139.",2011,0,0.289308176
"73.197.73.145.",2011,0,0.427536232
"73.204.73.141.",2011,0,0.337899543
"73.210.73.165.",2011,0,0.263888889
"73.227s.73.722.",2011,0,0.394366197
"73.252.73.179.",2011,1,0.352564103
"85.010.85.121.",2011,0,0.184713376
"85.013.85.83.",2011,0,0.333333333
"85.015.85.119.",2011,0,0.2125
"85.022.85.6.",2011,0,0.239130435
"85.038.85.67.",2011,0,0.267857143
"85.047.85.79.",2011,0,0.170731707
"85.048.85.84.",2011,0,0.256944444
"85.051.85.9.",2011,0,0.185770751
"85.094.85.49.",2011,0,0.166666667
"85.107.85.87.",2011,0,0.253012048
"85.118.85.50.",2011,0,0.206896552
"85.120.85.51.",2011,0,0.204225352
"85.143.85.88.",2011,0,0.204819277
"85.153.85.142.",2011,0,0.313636364
"85.176.85.101.",2011,0,0.096885813
"85.177.85.107.",2011,0,0.138728324
"85.179.85.108.",2011,0,0.161825726
"85.181.85.91.",2011,0,0.084677419
"85.183.85.109.",2011,0,0.144736842
"85.202.85.170.",2011,0,0.216666667
"85.214.85.143.",2011,0,0.127962085
"85.215.85.182.",2011,0,0.125827815
"85.275.85.213.",2011,0,0.240641711
"85.287.85.153.",2011,0,0.218604651
"85.293.85.156.",2011,0,0.219178082
"85.304.85.233.",2011,0,0.20754717
"85.308.85.236.",2011,0,0.258426966
"87.007.87.84.",2011,0,0.25477707
"87.012.87.108.",2011,0,0.196581197
"87.041.87.60.",2011,0,0.136094675
"87.042.87.64.",2011,0,0.185393258
"87.048.87.4.",2011,0,0.235955056
"87.066.87.1.",2011,0,0.16025641
"87.081.87.109.",2011,0,0.171875
"87.082.87.109.",2011,0,0.171875
"87.209.87.71.",2011,0,0.229885057
"87.215.87.31.",2011,0,0.169014085
"90.025.90.26.",2011,0,0.451612903
"90.028.90.30.",2011,0,0.552795031
"90.053.90.42.",2011,0,0.386075949
"90.126.90.77.",2011,0,0.34057971
"90.162.90.41.",2011,0,0.385365854
"90.165.90.46.",2011,0,0.328947368
"90.167.90.53.",2011,0,0.39055794
"90.176.90.12.",2011,0,0.193103448
"91.009.91.13.",2011,0,0.394495413
"91.024.91.20.",2011,0,0.5625
"91.030.91.27.",2011,0,0.366197183
"91.031.91.29.",2011,0,0.213114754
"91.034.91.24.",2011,0,0.266666667
"91.049.91.36.",2011,0,0.428571429
"91.061.91.50.",2011,0,0.235772358
"91.146.91.63.",2011,0,0.397590361
"91.147.91.55.",2011,0,0.4296875
"91.180.91.122.",2011,0,0.3
"98.090.98.69.",2011,0,0.133663366
"98.095.98.158.",2011,0,0.394366197
"98.100.98.80.",2011,0,0.215909091
"98.229.98.176.",2011,0,0.153846154
"98.232.98.207.",2011,0,0.090909091
"98.263.98.206.",2011,0,0.096774194
"10.002.10.1.",2007,0,0.168674699
"10.018.10.9.",2007,0,0.14516129
"10.021.10.32.",2007,0,0.123076923
"10.026.10.13.",2007,0,0.178082192
"10.028.10.16.",2007,0,0.166666667
"10.035s.10.702.",2007,0,0.142857143
"10.038.10.31.",2007,0,0.129032258
"10.039.10.34.",2007,0,0.101769912
"10.047.10.26.",2007,0,0.136363636
"10.055.10.24.",2007,0,0.269662921
"10.067.10.95.",2007,0,0.075555556
"10.068.10.97.",2007,0,0.073529412
"10.079.10.112.",2007,0,0.119047619
"10.103.10.52.",2007,0,0.138888889
"10.152.10.96.",2007,0,0.184713376
"10.181.10.150.",2007,0,0.057692308
"10.185.10.146.",2007,0,0.066666667
"10.206.10.148.",2007,0,0.157894737
"10.223.10.167.",2007,0,0.169811321
"10.227.10.203.",2007,0,0.142857143
"10.228.10.162.",2007,0,0.129411765
"10.229.10.165.",2007,0,0.142076503
"10.235.10.195.",2007,0,0.134078212
"10.245.10.218.",2007,0,0.1640625
"10.248.10.221.",2007,0,0.185897436
"10.267.10.211.",2007,0,0.16
"10.271.10.207.",2007,0,0.151960784
"10.275.10.223.",2007,0,0.184210526
"105.004.105.5.",2007,0,0.267676768
"105.022.105.16.",2007,0,0.274074074
"105.088.105.64.",2007,0,0.281818182
"105.099.105.54.",2007,0,0.442176871
"105.116.105.111.",2007,0,0.197916667
"105.120.105.200.",2007,0,0.22875817
"105.127.105.199.",2007,0,0.291666667
"105.136.105.197.",2007,0,0.435028249
"105.196.105.133.",2007,0,0.351515152
"105.201.105.131.",2007,0,0.346341463
"105.213.105.207.",2007,0,0.3046875
"105.232.105.145.",2007,0,0.266009852
"105.236.105.226.",2007,0,0.208860759
"105.252.105.222.",2007,0,0.194805195
"14.141.14.208.",2007,0,0.451162791
"14.148.14.73.",2007,0,0.575949367
"14.163.14.193.",2007,0,0.405017921
"14.164.14.77.",2007,0,0.583892617
"14.191.14.1.",2007,0,0.345679012
"14.193.14.2.",2007,0,0.390625
"14.194.14.1.",2007,0,0.408163265
"14.204s.14.700.",2007,0,0.488372093
"14.205.14.67.",2007,0,0.5
"14.215.14.7.",2007,0,0.408805031
"14.263.14.49.",2007,0,0.385964912
"18.028.18.31.",2007,0,0.352
